,winner,reward,num_actions,last_states
75,Strahd,-45,314,"tensor([[0.0000, 0.3368, 0.2000, 0.1000, 0.1000, 0.1000, 0.0000, 1.0000, 0.2093]])"
76,Leotris,63,671,"tensor([[ 0.1094, -0.0105,  0.1000,  0.1000,  0.3000,  0.1000,  0.0000,  1.0000,
          0.4473]])"
77,Leotris,72,988,"tensor([[ 0.6094, -0.0105,  0.2000,  0.1000,  0.4000,  0.1000,  0.0000,  1.0000,
          0.6587]])"
78,Leotris,75,312,"tensor([[ 0.7812, -0.0105,  0.1000,  0.1000,  0.2000,  0.3000,  0.0000,  1.0000,
          0.2080]])"
79,Leotris,71,794,"tensor([[ 0.5625, -0.0105,  0.1000,  0.1000,  0.1000,  0.3000,  0.0000,  1.0000,
          0.5293]])"
80,Leotris,69,676,"tensor([[ 0.4688, -0.0105,  0.1000,  0.2000,  0.1000,  0.4000,  0.0000,  1.0000,
          0.4507]])"
81,Leotris,76,507,"tensor([[ 0.7812, -0.0105,  0.1000,  0.2000,  0.3000,  0.1000,  0.0000,  1.0000,
          0.3380]])"
82,Leotris,72,499,"tensor([[ 0.3750, -0.0105,  0.2000,  0.3000,  0.4000,  0.2000,  0.0000,  1.0000,
          0.3327]])"
83,Leotris,79,340,"tensor([[ 0.8750, -0.0105,  0.2000,  0.3000,  0.2000,  0.5000,  0.0000,  1.0000,
          0.2267]])"
84,Leotris,72,306,"tensor([[ 0.3125, -0.0105,  0.2000,  0.2000,  0.4000,  0.2000,  0.0000,  1.0000,
          0.2040]])"
85,Leotris,76,288,"tensor([[ 0.5625, -0.0105,  0.3000,  0.2000,  0.1000,  0.3000,  0.0000,  1.0000,
          0.1920]])"
86,Leotris,73,466,"tensor([[ 0.4062, -0.0105,  0.3000,  0.2000,  0.5000,  0.2000,  0.0000,  1.0000,
          0.3107]])"
87,Leotris,68,297,"tensor([[ 0.3125, -0.0105,  0.3000,  0.2000,  0.5000,  0.1000,  0.0000,  1.0000,
          0.1980]])"
88,Leotris,71,176,"tensor([[ 0.5469, -0.0105,  0.2000,  0.2000,  0.1000,  0.4000,  0.0000,  1.0000,
          0.1173]])"
89,Leotris,64,537,"tensor([[ 0.0156, -0.0105,  0.2000,  0.1000,  0.2000,  0.3000,  0.0000,  1.0000,
          0.3580]])"
90,Leotris,69,356,"tensor([[ 0.0469, -0.0105,  0.1000,  0.2000,  0.2000,  0.4000,  0.0000,  1.0000,
          0.2373]])"
91,Leotris,71,654,"tensor([[ 0.5312, -0.0105,  0.1000,  0.2000,  0.3000,  0.2000,  0.0000,  1.0000,
          0.4360]])"
92,Leotris,67,708,"tensor([[ 0.1406, -0.0105,  0.1000,  0.2000,  0.3000,  0.3000,  0.0000,  1.0000,
          0.4720]])"
93,Leotris,71,711,"tensor([[ 0.5156, -0.0105,  0.1000,  0.2000,  0.3000,  0.3000,  0.0000,  1.0000,
          0.4740]])"
94,Leotris,69,836,"tensor([[ 0.2344, -0.0105,  0.2000,  0.2000,  0.4000,  0.1000,  0.0000,  1.0000,
          0.5573]])"
95,Leotris,73,491,"tensor([[ 0.5312, -0.0105,  0.2000,  0.2000,  0.4000,  0.2000,  0.0000,  1.0000,
          0.3273]])"
96,Leotris,70,724,"tensor([[ 0.2812, -0.0105,  0.2000,  0.1000,  0.3000,  0.3000,  0.0000,  1.0000,
          0.4827]])"
97,Leotris,73,846,"tensor([[ 0.6406, -0.0105,  0.1000,  0.1000,  0.2000,  0.3000,  0.0000,  1.0000,
          0.5640]])"
98,Leotris,72,389,"tensor([[ 0.7812, -0.0105,  0.1000,  0.1000,  0.3000,  0.1000,  0.0000,  1.0000,
          0.2593]])"
99,Leotris,66,958,"tensor([[ 0.2031, -0.0105,  0.2000,  0.2000,  0.4000,  0.1000,  0.0000,  1.0000,
          0.6387]])"
100,Strahd,-40,308,"tensor([[-0.0312,  0.2421,  0.2000,  0.2000,  0.2000,  0.3000,  0.0000,  1.0000,
          0.2053]])"
101,Leotris,74,512,"tensor([[ 0.5625, -0.0105,  0.2000,  0.2000,  0.4000,  0.2000,  0.0000,  1.0000,
          0.3413]])"
102,Leotris,68,592,"tensor([[ 0.2188, -0.0105,  0.2000,  0.2000,  0.3000,  0.4000,  0.0000,  1.0000,
          0.3947]])"
103,Leotris,73,415,"tensor([[ 0.5312, -0.0105,  0.2000,  0.2000,  0.1000,  0.4000,  0.0000,  1.0000,
          0.2767]])"
104,Leotris,75,768,"tensor([[ 0.4062, -0.0105,  0.2000,  0.2000,  0.4000,  0.3000,  0.0000,  1.0000,
          0.5120]])"
105,Leotris,71,697,"tensor([[ 0.2812, -0.0105,  0.2000,  0.2000,  0.3000,  0.4000,  0.0000,  1.0000,
          0.4647]])"
106,Leotris,65,519,"tensor([[ 0.0625, -0.0105,  0.2000,  0.3000,  0.4000,  0.2000,  0.0000,  1.0000,
          0.3460]])"
107,Leotris,70,176,"tensor([[ 0.3594, -0.0105,  0.1000,  0.3000,  0.1000,  0.1000,  0.0000,  1.0000,
          0.1173]])"
108,Leotris,75,661,"tensor([[ 0.6719, -0.0105,  0.2000,  0.3000,  0.2000,  0.5000,  0.0000,  1.0000,
          0.4407]])"
109,Leotris,71,369,"tensor([[ 0.3594, -0.0105,  0.2000,  0.3000,  0.1000,  0.5000,  0.0000,  1.0000,
          0.2460]])"
110,Leotris,69,255,"tensor([[ 0.1250, -0.0105,  0.2000,  0.3000,  0.3000,  0.1000,  0.0000,  1.0000,
          0.1700]])"
111,Leotris,74,237,"tensor([[ 0.6719, -0.0105,  0.2000,  0.3000,  0.2000,  0.5000,  0.0000,  1.0000,
          0.1580]])"
112,Leotris,73,262,"tensor([[ 0.5625, -0.0105,  0.2000,  0.3000,  0.1000,  0.5000,  0.0000,  1.0000,
          0.1747]])"
113,Leotris,74,424,"tensor([[ 0.4375, -0.0105,  0.2000,  0.3000,  0.4000,  0.3000,  0.0000,  1.0000,
          0.2827]])"
114,Strahd,-47,244,"tensor([[-0.0938,  0.4000,  0.2000,  0.2000,  0.2000,  0.3000,  0.0000,  1.0000,
          0.1627]])"
115,Strahd,-43,319,"tensor([[-0.0938,  0.3053,  0.2000,  0.3000,  0.2000,  0.4000,  0.0000,  1.0000,
          0.2127]])"
116,Strahd,-37,149,"tensor([[0.0000, 0.1474, 0.2000, 0.3000, 0.2000, 0.4000, 0.0000, 1.0000, 0.0993]])"
117,Leotris,70,470,"tensor([[ 0.2656, -0.0105,  0.2000,  0.3000,  0.4000,  0.3000,  0.0000,  1.0000,
          0.3133]])"
118,Leotris,77,560,"tensor([[ 0.6875, -0.0105,  0.2000,  0.4000,  0.3000,  0.6000,  0.0000,  1.0000,
          0.3733]])"
119,Leotris,78,283,"tensor([[ 0.7344, -0.0105,  0.3000,  0.4000,  0.5000,  0.4000,  0.0000,  1.0000,
          0.1887]])"
120,Leotris,80,280,"tensor([[ 0.8750, -0.0105,  0.3000,  0.4000,  0.5000,  0.4000,  0.0000,  1.0000,
          0.1867]])"
121,Leotris,74,367,"tensor([[ 0.5000, -0.0105,  0.3000,  0.4000,  0.2000,  0.2000,  0.0000,  1.0000,
          0.2447]])"
122,Leotris,74,259,"tensor([[ 0.5312, -0.0105,  0.3000,  0.4000,  0.5000,  0.5000,  0.0000,  1.0000,
          0.1727]])"
123,Leotris,72,263,"tensor([[ 0.3281, -0.0105,  0.3000,  0.4000,  0.5000,  0.3000,  0.0000,  1.0000,
          0.1753]])"
124,Leotris,74,320,"tensor([[ 0.6094, -0.0105,  0.3000,  0.4000,  0.5000,  0.3000,  0.0000,  1.0000,
          0.2133]])"
125,Leotris,69,300,"tensor([[ 0.2188, -0.0105,  0.5000,  0.4000,  0.7000,  0.3000,  0.0000,  1.0000,
          0.2000]])"
126,Leotris,74,199,"tensor([[ 0.6406, -0.0105,  0.5000,  0.4000,  0.6000,  0.2000,  0.0000,  1.0000,
          0.1327]])"
127,Leotris,71,239,"tensor([[ 0.3906, -0.0105,  0.5000,  0.3000,  0.7000,  0.3000,  0.0000,  1.0000,
          0.1593]])"
128,Leotris,73,253,"tensor([[ 0.6562, -0.0105,  0.5000,  0.3000,  0.6000,  0.1000,  0.0000,  1.0000,
          0.1687]])"
129,Leotris,71,269,"tensor([[ 0.6094, -0.0105,  0.5000,  0.3000,  0.4000,  0.5000,  0.0000,  1.0000,
          0.1793]])"
130,Leotris,73,157,"tensor([[ 0.5781, -0.0105,  0.5000,  0.3000,  0.7000,  0.4000,  0.0000,  1.0000,
          0.1047]])"
131,Leotris,71,444,"tensor([[ 0.3438, -0.0105,  0.6000,  0.3000,  0.4000,  0.4000,  0.0000,  1.0000,
          0.2960]])"
132,Leotris,75,348,"tensor([[ 0.5781, -0.0105,  0.6000,  0.2000,  0.8000,  0.1000,  0.0000,  1.0000,
          0.2320]])"
133,Leotris,70,223,"tensor([[ 0.5000, -0.0105,  0.6000,  0.2000,  0.4000,  0.1000,  0.0000,  1.0000,
          0.1487]])"
134,Leotris,76,630,"tensor([[ 0.5781, -0.0105,  0.7000,  0.2000,  0.8000,  0.4000,  0.0000,  1.0000,
          0.4200]])"
135,Leotris,73,362,"tensor([[ 0.3906, -0.0105,  0.7000,  0.2000,  0.6000,  0.4000,  0.0000,  1.0000,
          0.2413]])"
136,Leotris,69,410,"tensor([[ 0.4375, -0.0105,  0.7000,  0.2000,  0.5000,  0.1000,  0.0000,  1.0000,
          0.2733]])"
137,Leotris,68,447,"tensor([[ 0.2031, -0.0105,  0.7000,  0.2000,  0.5000,  0.3000,  0.0000,  1.0000,
          0.2980]])"
138,Leotris,68,563,"tensor([[ 0.3906, -0.0105,  0.8000,  0.1000,  0.8000,  0.3000,  0.0000,  1.0000,
          0.3753]])"
139,Leotris,67,514,"tensor([[ 0.1719, -0.0105,  0.8000,  0.2000,  0.7000,  0.4000,  0.0000,  1.0000,
          0.3427]])"
140,Leotris,74,611,"tensor([[ 0.6719, -0.0105,  0.8000,  0.2000,  0.7000,  0.4000,  0.0000,  1.0000,
          0.4073]])"
141,Leotris,72,873,"tensor([[ 0.5312, -0.0105,  0.8000,  0.1000,  0.6000,  0.1000,  0.0000,  1.0000,
          0.5820]])"
142,Leotris,74,704,"tensor([[ 0.7188, -0.0105,  0.8000,  0.1000,  0.8000,  0.3000,  0.0000,  1.0000,
          0.4693]])"
143,Leotris,74,611,"tensor([[ 0.7188, -0.0105,  0.8000,  0.1000,  0.7000,  0.3000,  0.0000,  1.0000,
          0.4073]])"
144,Leotris,65,988,"tensor([[ 0.0156, -0.0105,  0.8000,  0.1000,  0.8000,  0.3000,  0.0000,  1.0000,
          0.6587]])"
145,Leotris,73,603,"tensor([[ 0.6094, -0.0105,  0.8000,  0.2000,  0.6000,  0.3000,  0.0000,  1.0000,
          0.4020]])"
146,Leotris,73,515,"tensor([[ 0.5312, -0.0105,  0.7000,  0.2000,  0.5000,  0.1000,  0.0000,  1.0000,
          0.3433]])"
147,Strahd,-41,382,"tensor([[-0.0469,  0.2421,  0.7000,  0.2000,  0.7000,  0.1000,  0.0000,  1.0000,
          0.2547]])"
148,Strahd,-37,546,"tensor([[0.0000, 0.0526, 0.7000, 0.2000, 0.7000, 0.3000, 0.0000, 1.0000, 0.3640]])"
149,Leotris,68,693,"tensor([[ 0.3594, -0.0105,  0.7000,  0.1000,  0.5000,  0.1000,  0.0000,  1.0000,
          0.4620]])"
150,Leotris,72,318,"tensor([[ 0.3438, -0.0105,  0.8000,  0.1000,  0.7000,  0.3000,  0.0000,  1.0000,
          0.2120]])"
151,Leotris,72,916,"tensor([[ 0.4219, -0.0105,  0.8000,  0.1000,  0.6000,  0.1000,  0.0000,  1.0000,
          0.6107]])"
152,Leotris,71,1422,"tensor([[ 0.3594, -0.0105,  0.8000,  0.1000,  0.8000,  0.3000,  0.0000,  1.0000,
          0.9480]])"
